ID,USD,EUR,JPY,GBP,CAD,CHF,INR,SGD,CNY,HKD,KRW,BRL,PHP,MXN,XAU,XAG,XPD,XPT,XBT,ETH,LTC,RVN,XBC,FCT,BNB,XLM,ADA,XMR,DASH,ZEC,DCR
0,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
1,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10357.9110,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
2,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
3,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10357.9110,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
4,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
5,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10357.9110,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
6,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
7,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10357.9110,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
8,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10357.9110,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
9,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
10,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
11,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
12,1.0000,1.1119,0.0094,1.2234,0.7516,1.0222,0.0138,0.7202,0.1399,0.1274,0.0008,0.2420,0.0190,0.0502,1533.7423,17.6900,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
13,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
14,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
15,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
16,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
17,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
18,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
19,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
20,1.0000,1.1119,0.0094,1.2234,0.7516,1.0222,0.0138,0.7202,0.1399,0.1274,0.0008,0.2420,0.0190,0.0502,1533.7423,17.6900,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
21,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
22,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
23,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
24,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
25,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
26,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
27,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
28,1.0000,1.1119,0.0094,1.2234,0.7517,1.0221,0.0138,0.7203,0.1399,0.1274,0.0008,0.2421,0.0190,0.0502,1533.7423,17.6800,1480.9987,862.4630,10364.7762,189.5465,73.9402,0.0360,309.2475,4.0358,26.3557,0.0696,0.0490,81.4594,92.1502,51.2641,24.5629
